"Country","date","total_cases_per_million","population_density","human_development_index"
"Uzbekistan",2022-03-01,6969.078,76.134,0.72
"Holy See",2022-03-01,35714.286,NA,NA
"Saint Vincent and the Grenadines",2022-03-01,74692.861,281.787,0.738
"Venezuela (Bolivarian Republic of)",2022-03-01,17945.478,36.253,0.711
"British Virgin Islands",2022-03-01,200013.148,207.973,NA
"Viet Nam",2022-03-01,36239.905,308.127,0.704
"Vanuatu",2022-03-01,60.42,22.662,0.609
"Wallis and Futuna",2022-03-01,40923.021,NA,NA
"Samoa",2022-03-01,164.881,69.413,0.715
"Yemen",2022-03-01,386.053,53.508,0.47
"South Africa",2022-03-01,61218.668,46.754,0.709
"Zambia",2022-03-01,16541.18,22.995,0.584
"Zimbabwe",2022-03-01,15694.959,42.729,0.571
